BetaP_SE_0, BetaP_SE_1, rho_0,gamma_ei,gamma_ir,Iteration,Time
-2.17741,-0.166707,0.820935,0.330227,0.083377,431000,575
-1.84982,-0.273855,0.505951,0.274209,0.134508,432000,576
-1.60894,-0.187843,0.577396,0.336424,0.128483,433000,578
-1.57782,-0.57864,0.495579,0.246836,0.131293,434000,580
-1.57839,-0.281472,0.578237,0.201133,0.134767,435000,582
-2.08216,-0.266792,0.561076,0.25945,0.136503,436000,584
-1.57,-0.140083,0.342948,0.287938,0.189983,437000,585
-2.15427,-0.251032,0.427183,0.30305,0.133687,438000,587
-1.71647,-0.500141,0.479272,0.263804,0.144073,439000,589
-1.62989,-0.325864,0.34851,0.311293,0.143643,440000,592
-1.99531,-0.13049,0.438333,0.341353,0.140842,441000,594
-1.37331,-0.259159,0.254985,0.216995,0.135417,442000,595
-2.15563,-0.146969,0.684241,0.241736,0.143485,443000,596
-2.2259,-0.431843,0.973996,0.287649,0.159634,444000,598
-1.95694,-0.309667,0.959662,0.238126,0.0909351,445000,599
-2.07221,-0.349264,0.505092,0.251067,0.141893,446000,600
-1.68747,-0.449489,0.486108,0.237182,0.126431,447000,601
-1.90808,-0.172325,0.562628,0.253909,0.125415,448000,603
-2.09536,-0.199732,0.796505,0.233128,0.137806,449000,604
-2.28881,-0.466264,0.682293,0.210986,0.106281,450000,605
-2.65309,-0.223041,0.896233,0.252455,0.102752,451000,607
-2.32888,-0.2149,0.647133,0.21873,0.0741405,452000,609
-2.08973,-0.35115,0.364716,0.254651,0.0769196,453000,611
-2.23209,-0.307028,0.874942,0.207514,0.0943258,454000,612
-2.20125,-0.236513,0.825877,0.246963,0.11033,455000,614
-2.27727,-0.420847,0.598624,0.247147,0.0943472,456000,615
-1.88401,-0.213596,0.221864,0.199239,0.129656,457000,617
-1.56537,-0.322409,0.382231,0.230752,0.140793,458000,619
-1.69446,-0.266671,0.635288,0.274271,0.0970279,459000,620
-1.87626,-0.322062,0.330434,0.273427,0.0947461,460000,625
-1.7201,-0.266719,0.280659,0.260908,0.0848904,461000,627
-1.86082,-0.314587,0.35923,0.274706,0.0985498,462000,629
-2.35406,-0.193247,0.940313,0.296787,0.145601,463000,631
-2.24484,-0.318403,0.788098,0.222367,0.0978377,464000,633
-2.0249,-0.185397,0.824091,0.212736,0.111807,465000,634
-1.86221,-0.511038,0.718803,0.259324,0.138906,466000,636
-1.72238,-0.166996,0.252582,0.277304,0.117728,467000,638
-1.62931,-0.519204,0.293085,0.199808,0.128202,468000,639
-1.51899,-0.191171,0.424895,0.205156,0.13919,469000,640
-2.03745,-0.142844,0.693802,0.21804,0.144329,470000,641
-2.24089,-0.463245,0.664214,0.178105,0.116255,471000,643
-1.89382,-0.295801,0.523547,0.257171,0.0988295,472000,644
-1.85162,-0.421679,0.399426,0.234344,0.113994,473000,645
-2.20283,-0.099502,0.542971,0.230901,0.115527,474000,646
-1.85207,-0.159259,0.529701,0.197071,0.186393,475000,647
-2.04744,-0.254103,0.687774,0.24638,0.10246,476000,649
-2.52905,-0.144071,0.865643,0.222084,0.0729136,477000,650
-1.97611,-0.383228,0.607105,0.271967,0.147976,478000,651
-1.63976,-0.205256,0.328312,0.196704,0.141311,479000,652
-2.57979,-0.343156,0.938912,0.245403,0.106442,480000,658
-1.89736,-0.544395,0.641942,0.20766,0.15391,481000,659
-2.1692,-0.220694,0.783284,0.268662,0.141504,482000,660
-1.96569,-0.410705,0.609237,0.22997,0.11508,483000,662
-2.01361,-0.461829,0.638377,0.228822,0.121964,484000,663
-2.07256,-0.220303,0.561857,0.346685,0.11437,485000,664
-2.27918,-0.389275,0.494118,0.18083,0.151882,486000,665
-1.4927,-0.333972,0.284855,0.247495,0.111972,487000,667
-1.53581,-0.239138,0.240882,0.272123,0.146947,488000,668
-1.91298,-0.399415,0.611762,0.216293,0.191246,489000,669
-1.72497,-0.193025,0.33053,0.239382,0.135532,490000,670
-1.37954,-0.697058,0.397176,0.252276,0.157543,491000,671
-1.67455,-0.299739,0.48694,0.227188,0.165422,492000,672
-1.35209,-0.286651,0.174327,0.178506,0.129695,493000,674
-2.17754,-0.60588,0.896167,0.229342,0.129064,494000,675
-2.35537,-0.95906,0.947152,0.265264,0.141146,495000,676
-1.84614,-0.259239,0.340703,0.186243,0.121148,496000,677
-1.91655,-0.292717,0.553321,0.221801,0.156673,497000,678
-1.82317,-0.170826,0.977797,0.213556,0.147171,498000,680
-2.17353,-0.650701,0.79577,0.299635,0.138206,499000,681
-2.20473,-0.654479,0.817749,0.223636,0.161207,500000,690
-1.71793,-0.170871,0.38432,0.170198,0.114895,501000,692
-2.59728,-0.854286,0.875176,0.17293,0.092294,502000,693
-2.17407,-0.31404,0.586083,0.186033,0.132164,503000,695
-2.06615,-0.294145,0.8673,0.212143,0.12645,504000,696
-1.93266,-0.158052,0.653017,0.224003,0.156628,505000,698
-1.47126,-0.248967,0.429828,0.230174,0.12057,506000,699
-1.89493,-0.151895,0.436185,0.253517,0.128833,507000,701
-2.10026,-0.122479,0.548237,0.251278,0.125544,508000,702
-1.94816,-0.463367,0.915373,0.280245,0.165639,509000,704
-2.25546,-0.330032,0.846452,0.253562,0.20098,510000,705
-2.02022,-0.265546,0.980389,0.213785,0.157216,511000,707
-1.874,-0.161782,0.695794,0.245174,0.129666,512000,708
-2.09473,-0.111871,0.530996,0.194268,0.135954,513000,710
-2.19367,-0.136575,0.488667,0.250015,0.119111,514000,711
-1.89056,-0.461824,0.45825,0.237833,0.13557,515000,713
-2.37817,-0.464574,0.756449,0.226427,0.13107,516000,714
-1.83795,-0.378296,0.373051,0.25765,0.146842,517000,715
-2.09532,-0.332395,0.625815,0.280869,0.134246,518000,716
-1.82446,-0.361322,0.404255,0.293934,0.115048,519000,717
-2.29283,-0.2253,0.934818,0.325244,0.127651,520000,723
-1.84299,-0.206288,0.361517,0.26818,0.13756,521000,725
-2.1805,-0.114695,0.993151,0.25698,0.123682,522000,726
-1.77803,-0.313998,0.353084,0.194532,0.177425,523000,728
-1.78687,-0.114437,0.716296,0.263205,0.15924,524000,729
-1.62017,-0.266535,0.453901,0.223194,0.18428,525000,731
-1.45586,-0.464379,0.211684,0.199819,0.16751,526000,733
-1.97248,-0.111821,0.790282,0.180494,0.141632,527000,734
-1.99356,-0.17818,0.4017,0.271891,0.130839,528000,736
-2.22225,-0.315904,0.906315,0.228834,0.159466,529000,738
-1.80121,-0.379123,0.444328,0.28104,0.0945325,530000,740
-1.90623,-0.169099,0.305428,0.295472,0.134306,531000,742
-2.11148,-0.174943,0.371886,0.234877,0.163293,532000,744
-1.93823,-0.868131,0.659215,0.183612,0.0973152,533000,745
-1.85092,-0.470466,0.265687,0.19011,0.114113,534000,747
-1.52269,-0.632069,0.240192,0.191493,0.115006,535000,749
-2.15298,-0.252881,0.690639,0.247765,0.0873758,536000,751
-2.01842,-0.931892,0.889885,0.167577,0.11196,537000,752
-2.29982,-0.830092,0.67087,0.169485,0.108617,538000,754
-1.89,-0.565384,0.350616,0.22482,0.106744,539000,755
-2.44984,-0.413608,0.682595,0.198341,0.11244,540000,758
-1.79527,-0.763985,0.285001,0.19423,0.118087,541000,759
-1.71919,-0.845247,0.683126,0.251489,0.175774,542000,761
-1.62188,-0.701152,0.847144,0.208989,0.163303,543000,762
-1.69209,-0.484172,0.498231,0.218284,0.125579,544000,763
-1.54138,-1.00648,0.276074,0.162698,0.112632,545000,764
-1.32811,-0.804544,0.238898,0.213114,0.111777,546000,766
-1.9519,-0.621372,0.625603,0.18627,0.109167,547000,767
-1.73546,-0.459276,0.144762,0.211957,0.110697,548000,768
-1.72895,-0.534853,0.618346,0.184104,0.146743,549000,769
-1.82735,-0.498072,0.469448,0.185653,0.10717,550000,771
-1.90286,-0.560786,0.612068,0.232747,0.129438,551000,772
-2.11906,-0.558351,0.801869,0.21942,0.181921,552000,773
-2.12927,-0.906934,0.495602,0.176945,0.118468,553000,774
-2.60038,-0.302227,0.875093,0.154616,0.107733,554000,776
-1.80117,-0.394096,0.818075,0.268788,0.119797,555000,777
-1.83834,-0.471787,0.89577,0.132368,0.143478,556000,778
-1.82865,-0.377525,0.579579,0.182601,0.145888,557000,779
-1.67512,-0.426945,0.478288,0.176876,0.169306,558000,781
-1.74855,-0.870692,0.536266,0.203012,0.133461,559000,782
-1.3653,-0.82161,0.519842,0.215928,0.151402,560000,793
-1.65553,-0.439654,0.378362,0.167095,0.108238,561000,795
-1.24433,-1.21115,0.48239,0.156041,0.121496,562000,797
-2.14012,-0.312221,0.842785,0.204765,0.15129,563000,799
-1.27964,-0.782058,0.202554,0.182751,0.118908,564000,801
-1.32235,-0.937348,0.515942,0.231275,0.141078,565000,803
-1.30712,-0.626523,0.188623,0.196183,0.173534,566000,805
-1.64267,-1.02932,0.767265,0.163495,0.150223,567000,807
-1.25132,-0.874351,0.652289,0.177999,0.13587,568000,808
-1.84546,-0.930872,0.584242,0.180586,0.133441,569000,810
-1.66626,-0.949991,0.414363,0.250366,0.202355,570000,812
-2.15163,-0.901745,0.454863,0.234856,0.18336,571000,814
-1.65306,-0.825401,0.430541,0.191681,0.174297,572000,816
-2.1104,-1.56043,0.661335,0.211856,0.171978,573000,818
-2.23455,-1.94935,0.657811,0.226278,0.128458,574000,819
-1.40024,-1.03492,0.348906,0.178942,0.133205,575000,821
-1.67799,-1.40936,0.67457,0.200591,0.197999,576000,822
-2.23053,-1.55579,0.88205,0.1505,0.142117,577000,824
-2.36393,-0.620435,0.927163,0.201501,0.122737,578000,825
-1.6357,-0.748993,0.522324,0.142377,0.122225,579000,827
-1.8598,-1.03228,0.656352,0.219827,0.137586,580000,829
-1.58521,-1.29913,0.611403,0.189318,0.170922,581000,830
-1.93247,-1.42788,0.50887,0.2072,0.140326,582000,832
-2.32476,-0.8685,0.800517,0.187228,0.148984,583000,834
-1.85342,-1.50218,0.631563,0.191932,0.153239,584000,836
-2.19739,-0.783584,0.77489,0.137203,0.169086,585000,838
-1.93223,-0.681933,0.59116,0.133804,0.115082,586000,840
-1.75111,-0.730972,0.457619,0.140639,0.141675,587000,843
-1.87684,-1.01279,0.806495,0.196194,0.145864,588000,845
-1.37238,-0.845216,0.313238,0.221165,0.114003,589000,847
-1.40889,-1.36947,0.307589,0.161775,0.151492,590000,849
-2.06118,-1.95334,0.643271,0.154558,0.171481,591000,850
-1.74392,-0.795176,0.392338,0.198088,0.139245,592000,852
-2.55896,-0.562316,0.820979,0.194722,0.178727,593000,854
-2.43145,-0.965798,0.738472,0.176881,0.106718,594000,856
-1.5299,-0.515982,0.420033,0.172646,0.127459,595000,857
-1.49955,-0.434092,0.377505,0.132698,0.190911,596000,859
-1.59861,-0.854378,0.468185,0.165264,0.154559,597000,860
-1.56134,-0.623948,0.419951,0.141445,0.157333,598000,861
-1.80736,-1.62138,0.816785,0.219762,0.153263,599000,862
-1.75148,-0.926822,0.360674,0.225097,0.152866,600000,863
-1.66877,-0.887981,0.27514,0.157436,0.124773,601000,865
-1.86676,-1.66159,0.840709,0.169857,0.156318,602000,867
-2.46149,-1.38948,0.850861,0.165446,0.159523,603000,869
-1.52637,-1.65099,0.471724,0.164488,0.143856,604000,871
-2.18505,-2.59961,0.8443,0.14811,0.166877,605000,873
-1.78648,-0.745135,0.40861,0.108728,0.150167,606000,875
-1.41927,-1.33165,0.508071,0.135495,0.184667,607000,877
-1.38466,-0.679039,0.501993,0.202061,0.171172,608000,879
-1.41676,-1.07402,0.795465,0.184275,0.158075,609000,881
-1.78494,-0.450407,0.751143,0.141706,0.215882,610000,883
-1.53562,-2.27522,0.51684,0.184599,0.20797,611000,885
-1.48153,-0.647675,0.270678,0.156288,0.181669,612000,886
-1.51055,-0.989526,0.775872,0.155824,0.153741,613000,888
-1.55139,-1.43538,0.805813,0.135894,0.17494,614000,890
-1.20323,-0.744665,0.262594,0.159989,0.177752,615000,892
-1.68685,-0.623473,0.829909,0.21137,0.13088,616000,894
-1.81607,-0.55683,0.501057,0.147273,0.18993,617000,895
-1.55762,-0.627458,0.342149,0.110574,0.145565,618000,897
-1.64131,-1.10452,0.563798,0.160365,0.145591,619000,898
-1.43247,-1.27427,0.597811,0.117746,0.13673,620000,899
-1.72478,-2.12675,0.3892,0.139069,0.139296,621000,901
-1.5557,-2.34792,0.366967,0.127934,0.177209,622000,903
-1.4449,-0.454779,0.499562,0.13877,0.161394,623000,905
-1.67105,-1.25888,0.665407,0.140641,0.203203,624000,907
-1.84619,-2.31068,0.613789,0.123389,0.150017,625000,909
-1.73328,-1.1157,0.601013,0.162359,0.156931,626000,911
-1.20621,-0.923031,0.340512,0.0851155,0.182878,627000,913
-1.58386,-1.69507,0.828926,0.161623,0.163481,628000,915
-1.38832,-1.70032,0.508056,0.143675,0.156654,629000,917
-1.26218,-0.982156,0.64254,0.130122,0.158035,630000,919
-1.99712,-2.28987,0.500893,0.127053,0.182805,631000,921
-1.09592,-1.15044,0.502254,0.159815,0.155955,632000,923
-1.47419,-1.70135,0.580634,0.142228,0.162185,633000,925
-1.23111,-1.5778,0.337052,0.136181,0.197411,634000,927
-1.98719,-1.07642,0.529315,0.144438,0.210324,635000,928
-1.31376,-2.67242,0.773551,0.169165,0.17579,636000,930
-1.60331,-0.889038,0.589644,0.135144,0.20908,637000,931
-1.61276,-0.670176,0.554975,0.1323,0.260809,638000,932
-1.14001,-0.313367,0.292527,0.175004,0.161951,639000,933
-1.79576,-2.85173,0.845524,0.131472,0.163449,640000,935
-1.47744,-1.38189,0.388861,0.137931,0.207264,641000,937
-1.81433,-0.532975,0.606267,0.213052,0.170249,642000,939
-1.90109,-1.98026,0.711711,0.153156,0.171462,643000,941
-2.00086,-0.751882,0.606235,0.175732,0.125232,644000,943
-1.797,-0.241179,0.699535,0.137522,0.130305,645000,945
-1.51899,-2.22353,0.6141,0.146631,0.227414,646000,947
-1.83477,-1.41395,0.684538,0.217663,0.118595,647000,949
-1.77231,-1.5096,0.249491,0.148022,0.225315,648000,951
-1.80624,-0.556441,0.509453,0.114183,0.172545,649000,953
-1.78688,-1.15208,0.238496,0.172174,0.14869,650000,955
-1.49031,-1.30147,0.571525,0.149119,0.218065,651000,957
-2.1752,-1.07758,0.501453,0.115421,0.150571,652000,959
-2.21309,-0.558475,0.78478,0.121958,0.12638,653000,961
-1.84821,-0.366618,0.370562,0.149475,0.120511,654000,962
-1.8423,-0.65542,0.732044,0.194646,0.172755,655000,964
-1.6969,-0.718171,0.618254,0.17318,0.133338,656000,966
-1.73225,-0.459488,0.623069,0.150777,0.118257,657000,967
-1.41308,-0.284835,0.300809,0.206546,0.169536,658000,969
-1.8062,-0.0951781,0.609955,0.156675,0.162221,659000,970
-1.96458,-0.323385,0.544098,0.191942,0.171386,660000,971
-1.60441,-0.294628,0.423802,0.173242,0.158633,661000,973
-1.40845,-0.417608,0.591916,0.159081,0.126783,662000,975
-1.74778,-0.543675,0.974289,0.172694,0.130548,663000,977
-1.62235,-0.405847,0.43266,0.172725,0.125052,664000,979
-1.85936,-0.370105,0.967181,0.140359,0.166455,665000,981
-1.81078,-0.847211,0.449435,0.153463,0.120645,666000,983
-1.97057,-0.235522,0.758767,0.213826,0.182345,667000,985
-1.53482,-0.455846,0.38263,0.184845,0.151274,668000,986
-1.9952,-0.137251,0.794876,0.161414,0.223074,669000,988
-1.23446,-1.41756,0.432136,0.190447,0.254559,670000,990
-1.52988,-0.417551,0.63389,0.152217,0.197244,671000,991
-1.16408,-1.02359,0.104266,0.126229,0.221052,672000,993
-1.53242,-0.557144,0.430311,0.15104,0.223693,673000,994
-1.87362,-1.33724,0.748264,0.0903033,0.183554,674000,996
-1.92161,-0.609559,0.596719,0.128127,0.151879,675000,998
-1.48854,-1.78667,0.188836,0.179135,0.119905,676000,1000
-1.5726,-0.461602,0.529288,0.154503,0.127595,677000,1002
-1.92701,-1.59171,0.927039,0.173186,0.137308,678000,1004
-1.48956,-1.63679,0.359473,0.186909,0.128639,679000,1005
-1.51218,-0.816648,0.318519,0.137761,0.138448,680000,1007
-1.8421,-0.478194,0.622522,0.160906,0.155016,681000,1008
-1.89665,-0.426192,0.506697,0.134991,0.154799,682000,1009
-1.90582,-0.864154,0.644711,0.185013,0.16892,683000,1011
-1.60916,-1.01126,0.373356,0.178297,0.100592,684000,1013
-1.41019,-0.480586,0.402083,0.187615,0.181384,685000,1014
-1.72235,-1.21273,0.235744,0.188971,0.130755,686000,1015
-1.812,-2.1721,0.756056,0.189236,0.171883,687000,1017
-1.88153,-1.13144,0.471354,0.176945,0.160929,688000,1019
-1.67898,-0.306659,0.259882,0.131878,0.120385,689000,1021
-1.5725,-1.45351,0.567588,0.184787,0.135434,690000,1023
-1.63228,-0.608103,0.635399,0.190491,0.135149,691000,1025
-1.53264,-1.10958,0.502248,0.173631,0.171679,692000,1027
-1.22699,-2.53401,0.281932,0.176842,0.150548,693000,1029
-1.42138,-1.45066,0.350157,0.163588,0.131237,694000,1031
-2.32007,-1.05125,0.887419,0.170401,0.116373,695000,1033
-2.2002,-1.17247,0.69792,0.140217,0.130473,696000,1035
-2.04912,-1.12783,0.790775,0.190169,0.117804,697000,1037
-1.75898,-0.685926,0.489358,0.169908,0.135474,698000,1038
-1.74584,-1.32275,0.885793,0.153766,0.14708,699000,1040
-1.79281,-0.968982,0.49241,0.183833,0.142222,700000,1043
-1.61032,-1.45231,0.336557,0.184425,0.175884,701000,1045
-2.15361,-0.534927,0.622277,0.120183,0.114749,702000,1046
-1.85264,-1.52259,0.386005,0.14477,0.152288,703000,1047
-1.72504,-0.809844,0.629901,0.167018,0.155978,704000,1050
-1.4863,-0.727062,0.438193,0.126436,0.107528,705000,1052
-1.86513,-0.628899,0.390139,0.113877,0.158138,706000,1054
-1.76442,-2.19775,0.567333,0.188674,0.126111,707000,1056
-1.97772,-1.69861,0.513785,0.1591,0.203906,708000,1058
-2.49073,-0.939839,0.57169,0.18478,0.113127,709000,1060
-1.77359,-0.707711,0.474364,0.188238,0.141041,710000,1062
-1.52211,-1.54992,0.247294,0.192172,0.120071,711000,1064
-1.38063,-1.31015,0.288465,0.18729,0.170421,712000,1065
-1.99125,-0.623777,0.668207,0.169879,0.105655,713000,1067
-2.04566,-1.43968,0.47045,0.19133,0.109257,714000,1068
-1.83538,-0.998463,0.546012,0.191207,0.132519,715000,1070
-2.13423,-1.82003,0.857008,0.206423,0.124541,716000,1072
-2.24755,-0.701618,0.759814,0.149272,0.167457,717000,1073
-1.89469,-0.735434,0.71914,0.200065,0.123955,718000,1076
-1.78413,-0.792374,0.880122,0.212361,0.117764,719000,1078
-1.69082,-0.547125,0.661901,0.212154,0.135269,720000,1080
-1.80845,-0.839538,0.796441,0.182536,0.171156,721000,1081
-1.72929,-0.802052,0.36028,0.146815,0.211346,722000,1082
-1.84157,-0.905655,0.594849,0.168513,0.125385,723000,1084
-1.84633,-0.675521,0.341845,0.164316,0.105252,724000,1085
-1.78147,-0.79608,0.471243,0.219929,0.117424,725000,1086
-2.0851,-0.363883,0.762822,0.155664,0.109442,726000,1088
-2.10966,-1.48317,0.79373,0.195085,0.122853,727000,1089
-2.01338,-0.575706,0.367644,0.21199,0.0758925,728000,1091
-1.91869,-0.732149,0.945759,0.220496,0.141036,729000,1092
-1.56366,-0.65947,0.54038,0.177083,0.140974,730000,1093
-2.03175,-0.337297,0.388447,0.166743,0.146196,731000,1095
-1.66385,-1.0557,0.444289,0.153566,0.134414,732000,1096
-1.52975,-0.438188,0.37942,0.249392,0.153202,733000,1098
-1.23691,-0.809007,0.471296,0.204003,0.23877,734000,1100
-1.68799,-0.857156,0.833828,0.219961,0.127549,735000,1102
-1.49958,-0.753213,0.747668,0.12361,0.21282,736000,1103
-1.52183,-0.860468,0.367363,0.159245,0.121255,737000,1105
-1.63004,-0.734325,0.419299,0.210887,0.11194,738000,1106
-1.97015,-0.583438,0.636561,0.195585,0.105872,739000,1107
-1.9158,-1.27628,0.352116,0.181813,0.136076,740000,1116
-1.84849,-0.714974,0.876048,0.135907,0.161145,741000,1118
-1.81289,-0.319853,0.587971,0.203852,0.150315,742000,1120
-1.89851,-0.405249,0.516166,0.171596,0.131937,743000,1122
-1.53761,-0.338489,0.458891,0.235798,0.166819,744000,1124
-1.63122,-0.223526,0.538327,0.248834,0.109741,745000,1126
-1.92141,-1.25037,0.651669,0.165672,0.107753,746000,1128
-1.45936,-0.555865,0.231657,0.194683,0.129877,747000,1130
-1.72736,-0.592027,0.572361,0.155621,0.137235,748000,1132
-2.11873,-0.416401,0.511079,0.178912,0.105848,749000,1134
-1.73744,-0.861968,0.531317,0.264534,0.150604,750000,1136
-1.6394,-1.03384,0.492828,0.18309,0.148171,751000,1138
-1.83227,-1.4719,0.275912,0.207466,0.157175,752000,1140
-1.96025,-0.851205,0.599726,0.127572,0.130287,753000,1142
-1.70219,-1.03448,0.369375,0.16115,0.113667,754000,1144
-1.98401,-1.08999,0.402737,0.167739,0.130891,755000,1146
-1.74578,-0.75382,0.388534,0.160777,0.138308,756000,1148
-1.87349,-0.775327,0.525813,0.179817,0.130554,757000,1149
-2.06747,-0.500557,0.766621,0.147921,0.141659,758000,1151
-1.94862,-0.553434,0.911348,0.14523,0.141298,759000,1153
-1.48355,-0.886887,0.496303,0.161136,0.162278,760000,1154
-1.85556,-1.08382,0.624199,0.140453,0.141566,761000,1156
-1.9951,-0.736128,0.654937,0.168784,0.135658,762000,1158
-1.73705,-1.1138,0.452027,0.155952,0.148404,763000,1160
-1.56754,-0.689813,0.86601,0.192941,0.192682,764000,1162
-1.40458,-0.760806,0.462873,0.17673,0.234355,765000,1164
-1.60131,-0.860353,0.457618,0.155383,0.154704,766000,1165
-1.91979,-0.384116,0.61707,0.192215,0.155604,767000,1167
-1.65186,-0.487911,0.250054,0.151326,0.155119,768000,1169
-1.58544,-0.725899,0.389198,0.151988,0.221326,769000,1171
-1.61819,-0.282211,0.319766,0.144008,0.155724,770000,1172
-1.52693,-0.201226,0.35844,0.139706,0.193718,771000,1174
-1.62389,-0.305967,0.55055,0.159463,0.186336,772000,1176
-1.79673,-0.503834,0.726416,0.188479,0.243043,773000,1178
-1.39595,-1.0905,0.681097,0.192496,0.187286,774000,1180
-1.70329,-0.968832,0.459498,0.133119,0.200558,775000,1182
-1.8574,-0.60962,0.933704,0.164867,0.213844,776000,1183
-1.78765,-0.799866,0.605426,0.164624,0.181869,777000,1184
-1.52951,-0.610175,0.456551,0.15993,0.166807,778000,1186
-1.31169,-1.17121,0.250797,0.174378,0.158279,779000,1187
-1.32487,-1.40617,0.297431,0.213598,0.142325,780000,1189
-1.8087,-1.16945,0.321136,0.138549,0.208888,781000,1191
-1.53879,-1.21144,0.644944,0.220796,0.196863,782000,1193
-1.3739,-0.891875,0.914419,0.147001,0.2258,783000,1194
-1.66248,-0.475113,0.836327,0.203746,0.190969,784000,1196
-1.55106,-0.886192,0.281337,0.197234,0.160372,785000,1198
-1.85671,-1.41966,0.371182,0.153534,0.18903,786000,1200
-1.50392,-2.41765,0.424029,0.155543,0.137343,787000,1202
-1.20156,-1.11352,0.331218,0.151699,0.184801,788000,1204
-1.6643,-2.02407,0.834659,0.162619,0.170946,789000,1206
-1.76328,-0.784871,0.683099,0.167778,0.182938,790000,1208
-1.67081,-1.03965,0.674055,0.178494,0.180351,791000,1210
-1.43769,-0.477333,0.435945,0.173039,0.115133,792000,1212
-1.55104,-1.26279,0.258838,0.157299,0.159974,793000,1214
-2.12289,-2.45292,0.531771,0.166571,0.110331,794000,1216
-2.06693,-0.920584,0.507144,0.177481,0.146038,795000,1217
-1.78619,-0.576131,0.559808,0.147123,0.133616,796000,1219
-1.71853,-0.642245,0.147206,0.193388,0.111715,797000,1220
-1.41101,-1.96285,0.331559,0.153673,0.168781,798000,1222
-1.75453,-1.36187,0.263889,0.133094,0.154638,799000,1223
-1.66463,-1.20549,0.487628,0.158698,0.147981,800000,1225
-2.51728,-2.87455,0.784644,0.139698,0.153793,801000,1227
-1.69777,-1.11082,0.488071,0.213398,0.121488,802000,1229
-1.88786,-1.90579,0.847499,0.194295,0.193629,803000,1231
-1.84278,-0.285332,0.899672,0.193497,0.147875,804000,1233
-2.20133,-1.87772,0.565585,0.184797,0.109146,805000,1235
-1.77519,-1.14419,0.295085,0.18458,0.143963,806000,1237
-2.38603,-0.383699,0.260544,0.154474,0.0758847,807000,1239
-2.03052,-0.989109,0.584275,0.190048,0.110285,808000,1241
-1.76577,-1.50477,0.46244,0.16973,0.131629,809000,1243
-1.55151,-0.762675,0.667893,0.150241,0.116137,810000,1245
-1.76227,-0.428901,0.358737,0.262042,0.177709,811000,1247
-1.97738,-0.784162,0.46776,0.1976,0.149935,812000,1249
-1.89789,-2.34327,0.531732,0.153053,0.144409,813000,1251
-1.63668,-1.76231,0.562937,0.221011,0.185799,814000,1252
-1.48096,-0.950953,0.525431,0.222884,0.10015,815000,1254
-1.9958,-0.476822,0.478003,0.188295,0.158368,816000,1255
-1.89244,-0.577364,0.324287,0.168347,0.109377,817000,1257
-2.05356,-0.317594,0.748316,0.225402,0.122427,818000,1258
-2.10208,-0.283613,0.598808,0.182707,0.102518,819000,1260
-1.69103,-0.849364,0.241535,0.188649,0.104799,820000,1261
-1.70874,-0.453313,0.687925,0.142133,0.199477,821000,1263
-1.81401,-0.272188,0.451226,0.22268,0.116309,822000,1265
-1.95239,-0.402231,0.56078,0.195707,0.16063,823000,1267
-1.74714,-0.368071,0.721962,0.190853,0.155309,824000,1269
-1.81225,-0.35369,0.392016,0.134206,0.157829,825000,1270
-1.4954,-0.505425,0.62094,0.177863,0.231527,826000,1272
-2.02355,-0.266921,0.460098,0.177417,0.172925,827000,1274
-1.93625,-0.381024,0.409499,0.142875,0.123285,828000,1276
-1.64164,-0.733027,0.709184,0.152731,0.157673,829000,1277
-1.74447,-0.266524,0.189287,0.140848,0.202687,830000,1279
-2.02188,-0.375566,0.688177,0.190366,0.162326,831000,1281
-1.60349,-0.478311,0.354065,0.13902,0.166282,832000,1283
-1.96033,-0.724668,0.654513,0.186223,0.174736,833000,1285
-1.95281,-0.33542,0.588808,0.167867,0.118555,834000,1287
-2.07495,-0.568123,0.583771,0.116862,0.137144,835000,1289
-2.23398,-0.553594,0.638645,0.175343,0.103096,836000,1290
-2.0056,-0.890686,0.768878,0.193168,0.112125,837000,1292
-1.61884,-0.701596,0.287596,0.117971,0.11003,838000,1293
-1.64316,-0.300493,0.416533,0.203765,0.119061,839000,1295
-1.99247,-0.520014,0.674208,0.144194,0.16734,840000,1297
-1.98067,-0.270077,0.133624,0.159764,0.123257,841000,1298
-2.21851,-0.252719,0.538962,0.182512,0.107344,842000,1300
-2.16718,-0.384552,0.961753,0.210543,0.128574,843000,1302
-1.67552,-0.397045,0.534249,0.163967,0.169866,844000,1303
-1.68597,-0.855506,0.320722,0.193542,0.124779,845000,1305
-2.07594,-0.602133,0.706286,0.135826,0.123682,846000,1307
-1.76455,-0.231067,0.520205,0.164355,0.157071,847000,1308
-1.60922,-0.41045,0.302993,0.137444,0.156703,848000,1309
-1.58776,-0.538354,0.268183,0.176141,0.189975,849000,1311
-2.00665,-0.299716,0.645977,0.168408,0.139642,850000,1312
-1.92743,-0.624847,0.884426,0.241336,0.114498,851000,1314
-1.83789,-0.395237,0.261532,0.182801,0.114873,852000,1315
-2.11125,-1.13045,0.263557,0.212254,0.118498,853000,1317
-2.39748,-1.01166,0.82747,0.137543,0.0845944,854000,1319
-1.983,-0.778148,0.643576,0.185792,0.100715,855000,1321
-1.85786,-1.05186,0.680394,0.167225,0.110776,856000,1323
-1.87354,-2.19125,0.662018,0.180254,0.154931,857000,1325
-2.26666,-0.396773,0.598481,0.177633,0.112525,858000,1327
-1.93202,-0.400249,0.809274,0.158738,0.109968,859000,1329
